City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,38.26,61,99,20.42,TF,1714867657
1,kachug,53.9606,105.8817,54.05,59,85,1.01,RU,1714867658
2,avarua,-21.2078,-159.775,84.25,79,75,8.05,CK,1714867507
3,lihue,21.9789,-159.3672,81.64,75,100,21.85,US,1714867440
4,nar'yan-mar,67.6713,53.087,7.11,100,98,4.0,RU,1714867661
5,utrik,11.2278,169.8474,81.64,74,91,15.3,MH,1714867661
6,grytviken,-54.2811,-36.5092,31.87,78,11,11.14,GS,1714867552
7,belmonte,-15.8631,-38.8828,76.86,86,10,7.49,BR,1714867663
8,puerto natales,-51.7236,-72.4875,33.93,78,70,8.57,CL,1714867664
9,yeraliyev,43.2,51.65,59.49,73,92,3.58,KZ,1714867665
10,yellowknife,62.456,-114.3525,47.41,66,0,8.05,CA,1714867577
11,longyearbyen,78.2186,15.6401,21.04,79,20,6.91,SJ,1714867586
12,tolanaro,-25.0319,46.9987,70.23,65,76,12.88,MG,1714867667
13,alaca,40.1683,34.8425,45.52,95,100,3.91,TR,1714867668
14,vila franca do campo,37.7167,-25.4333,64.89,99,83,8.72,PT,1714867669
15,invercargill,-46.4,168.35,50.02,87,57,10.0,NZ,1714867446
16,ust-nera,64.5667,143.2,34.39,81,95,3.09,RU,1714867670
17,atafu village,-8.5421,-172.5159,84.25,78,100,6.02,TK,1714867671
18,fale old settlement,-9.3852,-171.2468,84.2,74,100,5.08,TK,1714867672
19,vadso,70.0744,29.7487,31.08,86,100,14.97,NO,1714867673
20,san antonio de pale,-1.4014,5.6325,81.73,85,22,8.05,GQ,1714867674
21,adamstown,-25.066,-130.1015,69.91,64,35,19.6,PN,1714867545
22,labuan,5.2767,115.2417,82.26,76,89,8.7,MY,1714867675
23,puerto santa,-8.9906,-78.6456,67.75,86,18,8.43,PE,1714867676
24,chinsali,-10.5414,32.0816,59.09,80,98,4.34,ZM,1714867677
25,port elizabeth,-33.918,25.5701,64.09,85,55,1.99,ZA,1714867678
26,petropavlovsk-kamchatsky,53.0452,158.6483,37.99,78,75,8.01,RU,1714867679
27,hawaiian paradise park,19.5933,-154.9731,78.31,77,100,12.66,US,1714867679
28,ilulissat,69.2167,-51.1,19.42,79,100,3.44,GL,1714867680
29,nuuk,64.1835,-51.7216,25.41,58,0,26.46,GL,1714867524
30,labytnangi,66.6572,66.4183,4.37,96,93,7.25,RU,1714867682
31,happy valley-goose bay,53.3168,-60.3315,41.31,70,100,5.75,CA,1714867510
32,cartagena,10.3997,-75.5144,82.02,83,75,4.61,CO,1714867683
33,edinburgh of the seven seas,-37.0676,-12.3116,57.45,77,47,35.01,SH,1714867684
34,waitangi,-43.9535,-176.5597,53.82,85,58,8.01,NZ,1714867685
35,bethel,41.3712,-73.414,56.77,75,0,5.75,US,1714867686
36,ushuaia,-54.8,-68.3,37.06,87,100,9.22,AR,1714867474
37,ondo,7.1,4.8333,75.2,97,75,1.05,NG,1714867687
38,gasa,31.5,34.4667,66.76,70,80,6.85,PS,1714867688
39,glace bay,46.1969,-59.957,41.27,89,40,6.91,CA,1714867458
40,al kharijah,25.4514,30.5464,77.61,16,8,9.66,EG,1714867689
41,port mathurin,-19.6833,63.4167,78.12,74,16,18.05,MU,1714867690
42,lewistown,40.5992,-77.5714,53.08,96,100,4.61,US,1714867691
43,tiksi,71.6872,128.8694,25.27,91,100,5.55,RU,1714867692
44,kodiak,57.79,-152.4072,45.91,71,100,12.66,US,1714867462
45,nova sintra,14.8667,-24.7167,74.25,79,1,17.94,CV,1714867693
46,ha'il,27.5219,41.6907,69.82,32,0,2.3,SA,1714867694
47,iqaluit,63.7506,-68.5145,15.71,93,64,4.03,CA,1714867695
48,naze,28.3667,129.4833,70.88,85,100,15.5,JP,1714867696
49,anadyr,64.75,177.4833,28.9,68,0,20.0,RU,1714867697
50,stjordalshalsen,63.4681,10.9262,50.92,76,0,4.61,NO,1714867697
51,luderitz,-26.6481,15.1594,60.73,87,0,9.24,NA,1714867698
52,beawar,26.1,74.3167,77.72,37,57,12.21,IN,1714867699
53,isafjordur,66.0755,-23.124,36.34,73,43,4.92,IS,1714867700
54,stanley,54.868,-1.6985,48.72,91,40,1.14,GB,1714867521
55,afaahiti,-17.75,-149.2833,84.07,81,44,16.35,PF,1714867701
56,mata-utu,-13.2816,-176.1745,85.01,74,96,10.42,WF,1714867702
57,salinopolis,-0.6136,-47.3561,80.08,88,99,9.84,BR,1714867703
58,bredasdorp,-34.5322,20.0403,55.04,82,34,4.36,ZA,1714867704
59,alice springs,-23.7,133.8833,56.75,47,21,6.91,AU,1714867705
60,codrington,-38.2667,141.9667,58.57,78,74,5.95,AU,1714867705
61,homer,59.6425,-151.5483,48.09,60,100,11.5,US,1714867706
62,petauke,-14.2426,31.3253,64.51,66,49,8.66,ZM,1714867707
63,balkanabat,39.5108,54.3671,58.68,79,6,3.29,TM,1714867708
64,lebu,-37.6167,-73.65,50.52,84,94,9.8,CL,1714867709
65,west island,-12.1568,96.8225,82.38,78,100,17.27,CC,1714867514
66,edmundston,47.3737,-68.3251,56.53,58,100,8.05,CA,1714867710
67,georgetown,5.4112,100.3354,82.33,83,20,3.44,MY,1714867681
68,kutum,14.2,24.6667,74.57,17,18,8.48,SD,1714867713
69,geraldton,-28.7667,114.6,52.21,87,0,5.75,AU,1714867713
70,klaksvik,62.2266,-6.589,47.32,97,98,15.3,FO,1714867714
71,albany,42.6001,-73.9662,63.91,57,100,1.99,US,1714867660
72,carnarvon,-24.8667,113.6333,72.1,47,0,18.23,AU,1714867716
73,okha,53.5739,142.9478,37.26,56,37,5.99,RU,1714867716
74,bhamo,24.2667,97.2333,77.86,53,84,0.25,MM,1714867717
75,tindouf,27.6711,-8.1474,77.07,11,0,11.05,DZ,1714867718
76,labrador city,52.9463,-66.9114,36.64,97,100,7.4,CA,1714867719
77,bandarbeyla,9.4942,50.8122,81.05,85,84,15.5,SO,1714867720
78,sabang,5.8933,95.3214,84.22,74,67,1.28,ID,1714867720
79,shagonar,51.5333,92.8,51.21,55,100,2.01,RU,1714867721
80,new norfolk,-42.7826,147.0587,54.91,62,0,1.23,AU,1714867722
81,kailua-kona,19.6406,-155.9956,82.36,75,75,11.5,US,1714867723
82,tidjikja,18.5564,-11.4271,89.55,12,2,8.28,MR,1714867723
83,uturoa,-16.7333,-151.4333,82.4,70,39,16.2,PF,1714867724
84,blackmans bay,-43.0167,147.3167,53.73,75,0,1.92,AU,1714867725
85,enewetak,11.3474,162.3373,81.82,75,71,17.18,MH,1714867726
86,isiro,2.7739,27.616,65.59,99,87,2.57,CD,1714867727
87,hithadhoo,-0.6,73.0833,84.94,76,98,12.26,MV,1714867728
88,vernon,50.2581,-119.2691,70.41,29,100,5.01,CA,1714867571
89,tsiombe,-25.3,45.4833,64.0,76,0,6.91,MG,1714867729
90,saint-philippe,-21.3585,55.7679,72.99,81,96,15.57,RE,1714867730
91,north bend,43.4065,-124.2243,53.08,76,100,20.71,US,1714867731
92,chemmumiahpet,15.8979,79.3213,86.09,66,2,2.91,IN,1714867732
93,sandnessjoen,66.0217,12.6316,34.32,80,44,17.69,NO,1714867733
94,cabo san lucas,22.8909,-109.9124,85.6,41,20,4.61,MX,1714867734
95,ketchikan,55.3422,-131.6461,66.67,32,20,8.05,US,1714867735
96,ribeira grande,38.5167,-28.7,63.77,94,30,5.99,PT,1714867736
97,tura,25.5198,90.2201,71.31,77,83,5.5,IN,1714867737
98,lagunas,-5.2269,-75.6753,76.5,97,87,2.86,PE,1714867738
99,nagato,34.3833,131.2,68.2,72,91,31.0,JP,1714867738
100,wanning,18.8003,110.3967,81.37,83,65,7.92,CN,1714867739
101,bowen,-20.0167,148.2333,76.51,69,73,10.18,AU,1714867629
102,wailua homesteads,22.0669,-159.378,81.03,79,100,21.85,US,1714867741
103,loreto,22.2667,-101.9667,87.96,9,29,12.1,MX,1714867741
104,college,64.8569,-147.8028,62.92,36,20,11.5,US,1714867742
105,broome,42.2506,-75.833,58.87,70,100,13.8,US,1714867743
106,as sulayyil,20.4607,45.5779,82.65,43,16,8.5,SA,1714867744
107,bure,10.7,37.0667,63.28,25,35,3.98,ET,1714867745
108,aasiaat,68.7098,-52.8699,9.25,91,46,6.29,GL,1714867746
109,spas-klepiki,55.1347,40.1767,41.94,92,100,6.35,RU,1714867748
110,margaret river,-33.95,115.0667,60.49,77,82,9.95,AU,1714867748
111,portland,45.5234,-122.6762,51.78,93,100,9.22,US,1714867655
112,nelidovo,56.2211,32.7774,49.14,84,100,9.15,RU,1714867751
113,vorkuta,67.5,64.0,0.45,100,99,3.13,RU,1714867751
114,la passe,45.5549,-0.8967,57.43,96,87,8.3,FR,1714867752
115,oodweyne,9.4092,45.064,76.73,68,95,8.19,SO,1714867753
116,torghay,49.6339,63.4981,40.87,60,97,8.21,KZ,1714867754
117,badger,64.8,-147.5333,62.85,32,20,11.5,US,1714867756
118,hermanus,-34.4187,19.2345,57.63,82,10,6.46,ZA,1714867757
119,baxter,46.3433,-94.2867,61.09,44,40,6.91,US,1714867758
120,aioun,16.6614,-9.6149,92.26,10,0,10.96,MR,1714867759
121,turan,16.0678,108.2208,78.78,89,100,3.44,VN,1714867760
122,thompson,55.7435,-97.8558,36.37,98,100,7.78,CA,1714867761
123,oskarshamn,57.2645,16.4484,51.12,95,100,3.22,SE,1714867762
124,laojunmiao,39.8333,97.7333,57.38,17,51,3.91,CN,1714867637
125,piacabucu,-10.4056,-36.4344,78.96,87,74,7.61,BR,1714867764
126,bilibino,68.0546,166.4372,30.88,68,16,3.2,RU,1714867765
127,pisco,-13.7,-76.2167,68.05,88,0,3.44,PE,1714867766
128,bafia,4.75,11.2333,72.1,95,90,1.05,CM,1714867768
129,thurso,58.5927,-3.5259,48.45,89,78,6.06,GB,1714867770
130,iskateley,67.6803,53.1512,7.02,100,99,4.0,RU,1714867771
131,norilsk,69.3535,88.2027,1.42,95,58,5.59,RU,1714867772
132,qaqortoq,60.7167,-46.0333,30.7,63,0,1.14,GL,1714867773
133,santa marta de ortigueira,43.6833,-7.85,61.11,76,89,4.0,ES,1714867774
134,bekalta,35.6174,10.9947,62.62,58,7,0.07,TN,1714867774
135,safaga,26.7292,33.9365,79.57,33,4,8.12,EG,1714867775
136,bambari,5.768,20.6757,75.81,78,59,2.53,CF,1714867776
137,puerto ayora,-0.7393,-90.3518,75.54,96,85,8.01,EC,1714867777
138,tangalle,6.024,80.7911,80.01,91,85,7.25,LK,1714867778
139,illizi,26.4833,8.4667,79.84,18,36,4.83,DZ,1714867779
140,acapulco de juarez,16.8634,-99.8901,84.02,70,0,11.5,MX,1714867780
141,mejit,10.2753,170.8646,81.61,80,100,17.47,MH,1714867781
142,tacna,-18.0056,-70.2483,59.2,88,100,8.05,PE,1714867507
143,yuzhno-kurilsk,44.0306,145.8556,37.38,90,100,8.88,RU,1714867782
144,salinas,36.6777,-121.6555,54.28,86,75,10.36,US,1714867704
145,thunder bay,48.4001,-89.3168,46.31,100,100,3.44,CA,1714867784
146,new plymouth,-39.0667,174.0833,61.81,76,15,6.15,NZ,1714867785
147,jean-rabel,19.8533,-73.1917,78.67,84,20,14.36,HT,1714867785
148,wahpeton,46.2652,-96.6059,60.93,44,75,11.5,US,1714867786
149,verkhovazh'ye,60.7472,42.0465,36.14,70,100,3.67,RU,1714867787
150,weno,7.4515,151.8468,83.7,77,72,14.63,FM,1714867788
151,tadine,-21.55,167.8833,76.48,53,92,12.01,NC,1714867789
152,igrim,63.1906,64.4162,18.57,85,43,12.28,RU,1714867789
153,east london,-33.0153,27.9116,69.26,78,87,11.54,ZA,1714867790
154,ndelele,4.0333,14.9333,73.49,75,76,1.92,CM,1714867791
155,bubaque,11.2833,-15.8333,79.5,75,7,17.2,GW,1714867792
156,raseiniai,55.3736,23.1217,52.38,80,93,5.53,LT,1714867793
157,san jose,37.3394,-121.895,57.31,75,75,12.66,US,1714867743
158,grou,53.1,5.8333,53.62,83,75,7.0,NL,1714867794
159,antsiranana,-12.2787,49.2917,77.54,75,56,16.89,MG,1714867795
160,caluula,11.9661,50.7569,86.85,71,33,4.63,SO,1714867796
161,shakawe,-18.3667,21.85,57.16,33,0,3.58,BW,1714867797
162,wynyard,-41.0,145.7167,58.46,54,2,2.39,AU,1714867797
163,ouro preto do oeste,-10.7481,-62.2158,75.67,91,60,3.4,BR,1714867738
164,quellon,-43.1167,-73.6167,42.31,85,100,6.42,CL,1714867799
165,hatta,24.1167,79.6,86.36,12,90,1.39,IN,1714867800
166,bairnsdale,-37.8333,147.6167,57.06,95,47,0.34,AU,1714867800
167,st. john's,47.5649,-52.7093,36.97,94,100,17.0,CA,1714867639
168,guerrero negro,27.9769,-114.0611,65.32,68,2,21.77,MX,1714867719
169,nemuro,43.3236,145.575,42.28,85,100,10.4,JP,1714867803
170,vilyuchinsk,52.9306,158.4028,39.47,96,100,3.58,RU,1714867803
171,san salvador,13.6894,-89.1872,79.88,99,18,4.97,SV,1714867804
172,chibougamau,49.9168,-74.3659,52.27,82,87,7.27,CA,1714867805
173,ciudad bolivar,8.1222,-63.5497,92.35,42,90,13.15,VE,1714867806
174,princeville,45.7668,-61.2985,45.54,87,100,5.75,CA,1714867807
175,minas de marcona,-15.2119,-75.1103,60.15,88,23,12.5,PE,1714867808
176,gurupi,-11.7292,-49.0686,80.15,52,6,3.33,BR,1714867808
177,papatowai,-46.5619,169.4708,51.85,69,68,11.36,NZ,1714867809
178,sinabang,2.4803,96.3801,80.44,85,100,3.74,ID,1714867810
179,cold lake,54.4502,-110.2017,51.75,40,40,0.0,CA,1714867512
180,calingasta,-31.3308,-69.4078,63.16,15,2,4.12,AR,1714867811
181,ust'-kut,56.7938,105.7672,48.43,80,33,1.99,RU,1714867812
182,inhambane,-23.865,35.3833,70.34,73,44,4.29,MZ,1714867813
183,hammerfest,70.6634,23.6821,32.45,64,100,11.5,NO,1714867814
184,balykshi,47.0667,51.8667,41.0,52,0,11.18,KZ,1714867815
185,pasighat,28.0667,95.3333,68.92,84,96,6.64,IN,1714867815
186,neiafu,-18.65,-173.9833,82.27,79,97,12.21,TO,1714867816
187,magadan,59.5667,150.8,37.53,86,90,2.86,RU,1714867817
188,lompoc,34.6391,-120.4579,64.78,60,100,12.66,US,1714867818
189,port alfred,-33.5906,26.891,63.18,88,92,13.94,ZA,1714867819
190,saldanha,-33.0117,17.9442,57.11,93,4,9.04,ZA,1714867820
191,yambio,4.5721,28.3955,68.13,96,74,8.08,SS,1714867821
192,ta`u,-14.2336,-169.5144,83.34,79,100,19.73,AS,1714867821
193,aquin,18.2833,-73.4,77.94,81,7,3.4,HT,1714867822
194,san patricio,28.017,-97.5169,83.12,75,70,14.74,US,1714867823
195,sungai penuh,-2.0833,101.3833,68.07,92,89,3.04,ID,1714867639
196,n'dalatando,-9.2978,14.9116,65.43,71,93,3.87,AO,1714867824
197,polyarnyy,69.1989,33.4478,24.49,95,100,10.67,RU,1714867825
198,cidreira,-30.1811,-50.2056,68.97,93,100,4.21,BR,1714867826
199,porto murtinho,-21.6989,-57.8825,81.46,49,99,3.04,BR,1714867827
200,chester,40.1254,-75.8749,49.62,96,100,10.36,US,1714867827
201,sao felix do xingu,-6.6447,-51.995,75.4,92,18,2.3,BR,1714867705
202,wangaratta,-36.3667,146.3333,61.47,69,25,3.33,AU,1714867829
203,bor,56.3567,44.0669,36.0,59,28,6.73,RU,1714867830
204,oriximina,-1.7656,-55.8661,78.71,93,69,3.29,BR,1714867830
205,vila velha,-20.3297,-40.2925,75.15,88,40,3.44,BR,1714867831
206,kupang,-10.1667,123.5833,86.58,84,20,6.91,ID,1714867832
207,fort mcmurray,56.7268,-111.381,53.89,42,93,2.71,CA,1714867709
208,al ghayzah,16.2079,52.176,83.26,81,25,7.9,YE,1714867604
209,rotonda west,26.8837,-82.2901,80.62,82,75,6.91,US,1714867836
210,hadibu,12.65,54.0333,84.42,79,65,2.68,YE,1714867836
211,papao,-17.75,-149.55,85.68,78,15,18.25,PF,1714867838
212,kattivakkam,13.2167,80.3167,88.11,83,2,16.62,IN,1714867839
213,udachny,66.4167,112.4,31.44,94,100,8.46,RU,1714867840
214,pago pago,-14.2781,-170.7025,81.32,85,100,17.85,AS,1714867840
215,arraial do cabo,-22.9661,-42.0278,75.87,87,0,23.51,BR,1714867831
216,lauro de freitas,-12.8944,-38.3272,84.22,74,40,8.05,BR,1714867569
217,kenai,60.5544,-151.2583,51.89,46,100,17.27,US,1714867843
218,santiago de cao,-7.9589,-79.2392,66.33,88,75,9.22,PE,1714867843
219,trenggalek,-8.05,111.7167,75.45,93,90,2.46,ID,1714867844
220,trail,49.0998,-117.7022,66.76,32,100,7.85,CA,1714867845
221,carutapera,-1.195,-46.02,77.72,95,100,11.92,BR,1714867846
222,rusera,25.75,86.0333,75.99,30,10,7.56,IN,1714867847
223,port isabel,26.0734,-97.2086,82.49,86,100,14.97,US,1714867632
224,chania,35.5122,24.0156,60.4,88,75,10.36,GR,1714867848
225,haiku-pauwela,20.9219,-156.3051,77.02,72,40,26.46,US,1714867849
226,port lincoln,-34.7333,135.8667,61.95,69,4,9.22,AU,1714867568
227,manokwari,-0.8667,134.0833,80.22,82,99,5.23,ID,1714867851
228,nizhnegorskiy,45.4479,34.7384,46.71,47,0,8.41,UA,1714867852
229,baganga,7.5739,126.56,83.7,73,55,5.55,PH,1714867853
230,pourham,14.35,-16.4167,76.87,36,0,5.3,SN,1714867853
231,olonkinbyen,70.9221,-8.7187,29.57,98,100,15.17,SJ,1714867854
232,khanty-mansiysk,61.0042,69.0019,33.91,93,75,11.18,RU,1714867855
233,puerto baquerizo moreno,-0.9,-89.6,75.09,87,75,7.9,EC,1714867856
234,abqaiq,25.9371,49.6776,78.75,57,0,5.23,SA,1714867857
235,kerouane,9.2667,-9.0167,79.05,64,71,5.1,GN,1714867857
236,constantia,44.1833,28.65,47.08,79,11,10.31,RO,1714867850
237,el calafate,-50.3408,-72.2768,32.54,73,58,7.94,AR,1714867859
238,sao joao da barra,-21.6403,-41.0511,76.86,87,0,11.5,BR,1714867649
239,greenville,35.6127,-77.3663,76.95,71,0,10.36,US,1714867861
240,grand falls-windsor,48.9332,-55.6649,35.51,85,17,1.99,CA,1714867862
241,antigonish,45.6169,-61.9986,40.35,86,12,1.99,CA,1714867863
242,arteche,12.2645,125.4048,84.29,66,91,4.92,PH,1714867864
243,merizo village,13.2658,144.6691,86.58,82,16,11.86,GU,1714867865
244,kingston,17.997,-76.7936,85.15,70,20,13.8,JM,1714867658
245,ryotsu-minato,38.0833,138.4333,71.13,44,55,4.83,JP,1714867866
246,gobabis,-22.45,18.9667,59.9,23,0,11.65,NA,1714867867
247,juneau,58.3019,-134.4197,60.8,77,100,9.22,US,1714867689
248,pandan,14.0453,124.1694,84.25,71,52,4.72,PH,1714867868
249,kill devil hills,36.0307,-75.676,71.6,84,40,11.5,US,1714867869
250,portel,-1.9356,-50.8211,76.68,97,78,3.13,BR,1714867870
251,dryden,49.7833,-92.7503,46.69,66,75,10.36,CA,1714867748
252,choibalsan,48.0667,114.5,48.67,47,0,6.71,MN,1714867871
253,kapoeta,4.7717,33.5903,75.7,71,98,5.97,SS,1714867872
254,ilomantsi,62.6716,30.9328,34.7,86,100,9.44,FI,1714867873
255,wuwei,37.9281,102.6414,63.01,21,3,3.83,CN,1714867874
256,queenstown,-31.8976,26.8753,56.26,50,6,1.57,ZA,1714867875
257,chadan,51.2833,91.5833,55.35,36,95,3.78,RU,1714867875
258,hasaki,35.7333,140.8333,73.8,69,6,16.96,JP,1714867876
259,matthew town,20.95,-73.6667,79.11,76,67,18.32,BS,1714867877
260,fort bragg,35.139,-79.006,69.94,94,100,3.44,US,1714867878
261,harnai,30.1005,67.9374,73.17,43,3,2.53,PK,1714867879
262,bakanas,44.8081,76.2772,66.38,46,62,2.42,KZ,1714867880
263,saurimo,-9.6608,20.3916,63.36,58,84,4.09,AO,1714867880
264,gbadolite,4.2833,21.0167,73.62,91,75,3.83,CD,1714867881
265,ushachy,55.1786,28.6035,48.38,92,48,6.17,BY,1714867882
266,harper,4.375,-7.7169,82.18,83,71,9.13,LR,1714867883
267,cannonvale,-20.2833,148.7,76.59,77,78,13.27,AU,1714867884
268,prineville,44.2999,-120.8345,45.12,90,100,12.66,US,1714867884
269,eforie sud,44.0229,28.6494,47.21,78,33,9.82,RO,1714867885
270,boende,-0.2167,20.8667,72.93,85,96,2.77,CD,1714867887
271,antsohihy,-14.8796,47.9875,75.15,67,12,11.52,MG,1714867887
272,canutama,-6.5339,-64.3831,81.48,78,94,0.4,BR,1714867888
273,lerwick,60.1545,-1.1494,48.2,98,100,16.13,GB,1714867889
274,daru,-9.0763,143.2092,80.87,90,100,17.98,PG,1714867890
275,arafat,21.3594,39.9664,81.03,47,0,0.31,SA,1714867890
